ZipCode,Month,Year,CustomerClass,TotalCustomers,TotalkWh,AveragekWh
91901,7,2022,A,0,0,0
91901,7,2022,C,0,0,0
91901,7,2022,I,0,0,0
91901,7,2022,R,8181,5217297,638
91902,7,2022,A,0,0,0
91902,7,2022,C,0,0,0
91902,7,2022,I,0,0,0
91902,7,2022,R,4605,1824306,396
91905,7,2022,A,0,0,0
91905,7,2022,C,0,0,0
91905,7,2022,I,0,0,0
91905,7,2022,R,274,171635,626
91906,7,2022,A,0,0,0
91906,7,2022,C,430,1639276,3812
91906,7,2022,I,0,0,0
91906,7,2022,R,2000,1555776,778
91910,7,2022,A,0,0,0
91910,7,2022,C,351,5604255,15967
91910,7,2022,I,0,0,0
91910,7,2022,R,3667,632849,173
91911,7,2022,A,0,0,0
91911,7,2022,C,325,5000496,15386
91911,7,2022,I,0,0,0
91911,7,2022,R,2892,340678,118
91912,7,2022,A,0,0,0
91912,7,2022,C,0,0,0
91912,7,2022,I,0,0,0
91912,7,2022,R,0,0,0
91913,7,2022,A,0,0,0
91913,7,2022,C,0,0,0
91913,7,2022,I,0,0,0
91913,7,2022,R,3499,752216,215
91914,7,2022,A,0,0,0
91914,7,2022,C,0,0,0
91914,7,2022,I,0,0,0
91914,7,2022,R,1240,234677,189
91915,7,2022,A,0,0,0
91915,7,2022,C,0,0,0
91915,7,2022,I,0,0,0
91915,7,2022,R,2113,480797,228
91916,7,2022,A,0,0,0
91916,7,2022,C,0,0,0
91916,7,2022,I,0,0,0
91916,7,2022,R,0,0,0
91917,7,2022,A,0,0,0
91917,7,2022,C,0,0,0
91917,7,2022,I,0,0,0
91917,7,2022,R,216,170634,790
91931,7,2022,A,0,0,0
91931,7,2022,C,0,0,0
91931,7,2022,I,0,0,0
91931,7,2022,R,0,0,0
91932,7,2022,A,0,0,0
91932,7,2022,C,0,0,0
91932,7,2022,I,0,0,0
91932,7,2022,R,1558,287441,184
91934,7,2022,A,0,0,0
91934,7,2022,C,0,0,0
91934,7,2022,I,0,0,0
91934,7,2022,R,0,0,0
91935,7,2022,A,0,0,0
91935,7,2022,C,0,0,0
91935,7,2022,I,0,0,0
91935,7,2022,R,2881,1633509,567
91941,7,2022,A,0,0,0
91941,7,2022,C,0,0,0
91941,7,2022,I,0,0,0
91941,7,2022,R,6440,2837080,441
91942,7,2022,A,0,0,0
91942,7,2022,C,302,5518504,18273
91942,7,2022,I,0,0,0
91942,7,2022,R,3066,837026,273
91945,7,2022,A,0,0,0
91945,7,2022,C,579,3286017,5675
91945,7,2022,I,0,0,0
91945,7,2022,R,8989,3536711,393
91948,7,2022,A,0,0,0
91948,7,2022,C,0,0,0
91948,7,2022,I,0,0,0
91948,7,2022,R,0,0,0
91950,7,2022,A,0,0,0
91950,7,2022,C,1989,16244584,8167
91950,7,2022,I,0,0,0
91950,7,2022,R,15766,5635562,357
91962,7,2022,A,0,0,0
91962,7,2022,C,0,0,0
91962,7,2022,I,0,0,0
91962,7,2022,R,0,0,0
91963,7,2022,A,0,0,0
91963,7,2022,C,0,0,0
91963,7,2022,I,0,0,0
91963,7,2022,R,0,0,0
91977,7,2022,A,0,0,0
91977,7,2022,C,797,3784657,4749
91977,7,2022,I,0,0,0
91977,7,2022,R,18586,8058327,434
91978,7,2022,A,0,0,0
91978,7,2022,C,0,0,0
91978,7,2022,I,0,0,0
91978,7,2022,R,2935,1544055,526
91980,7,2022,A,0,0,0
91980,7,2022,C,0,0,0
91980,7,2022,I,0,0,0
91980,7,2022,R,0,0,0
92003,7,2022,A,0,0,0
92003,7,2022,C,295,1065619,3612
92003,7,2022,I,0,0,0
92003,7,2022,R,1934,881760,456
92004,7,2022,A,0,0,0
92004,7,2022,C,0,0,0
92004,7,2022,I,0,0,0
92004,7,2022,R,2209,1893740,857
92007,7,2022,A,0,0,0
92007,7,2022,C,0,0,0
92007,7,2022,I,0,0,0
92007,7,2022,R,873,123989,142
92008,7,2022,A,0,0,0
92008,7,2022,C,0,0,0
92008,7,2022,I,0,0,0
92008,7,2022,R,3138,981301,313
92009,7,2022,A,0,0,0
92009,7,2022,C,0,0,0
92009,7,2022,I,0,0,0
